エリアOK/NG,地方,都市雇用圏名（中心都市）,圏域人口,区分,構成自治体（10%通勤圏の郊外自治体）
OK,東北,米沢市,"128,154",小都市雇用圏,"南陽市, 高畠町, 川西町"
OK,東北,鶴岡市,"125,510",大都市雇用圏,三川町
NG（近隣なら検討可）,中部,長岡市,"266,419",大都市雇用圏,"小千谷市, 見附市, 出雲崎町"
NG（周辺ふくむ）,九州,佐世保市,"266,416",大都市雇用圏,"松浦市, 西海市, 佐々町, 川棚町, 波佐見町"
NG（近隣なら検討可）,近畿,加古川市,"262,079",大都市雇用圏,"高砂市, 稲美町, 播磨町"
OK,東北,横手市,"122,036",大都市雇用圏,"羽後町, 東成瀬村"
OK,中部,岡崎市,"391,374",大都市雇用圏,幸田町
OK,中部,富士市,"375,541",大都市雇用圏,富士宮市
OK,中部,上田市,"226,711",大都市雇用圏,"東御市, 長和町, 青木村"
NG（周辺ふくむ）,中国,松江市,"233,401",大都市雇用圏,安来市
NG（周辺ふくむ）,北海道,苫小牧市,"231,160",大都市雇用圏,"白老町, 安平町, 厚真町, むかわ町"
NG（周辺ふくむ）,中国,米子市,"230,002",大都市雇用圏,"境港市, 日吉津村, 大山町, 南部町, 伯耆町, 日野町, 江府町, 安来市(島根)"
OK,中部,上越市,"214,024",大都市雇用圏,妙高市
OK,中部,西尾市,"170,051",大都市雇用圏,(単独)
NG（周辺ふくむ）,中国,呉市,"215,640",大都市雇用圏,"江田島市, 坂町"
NG（周辺ふくむ）,北海道,釧路市,"214,350",大都市雇用圏,"釧路町, 厚岸町, 標茶町, 鶴居村, 白糠町"
OK,中部,小松市,"168,095",大都市雇用圏,"加賀市, 能美市, 川北町"
NG（近隣なら検討可）,関東,伊勢崎市,"211,850",大都市雇用圏,玉村町
NG（近隣なら検討可）,中部,多治見市,"198,771",大都市雇用圏,"土岐市, 瑞浪市"
NG（周辺ふくむ）,中国,東広島市,"196,523",大都市雇用圏,"竹原市, 大崎上島町"
NG（近隣なら検討可）,近畿,彦根市,"196,444",大都市雇用圏,"犬上郡(豊郷町, 甲良町, 多賀町), 愛荘町"
NG（周辺ふくむ）,関東,足利市,"192,201",大都市雇用圏,佐野市(一部)
OK,中部,佐久市,"121,438",大都市雇用圏,"小諸市（NG）, 佐久穂町, 御代田町（NG）, 立科町（NG）"
NG（周辺ふくむ）,中国,山口市,"191,123",大都市雇用圏,(単独)
OK,中部,掛川市,"119,655",大都市雇用圏,菊川市
NG（周辺ふくむ）,中部,松阪市,"180,248",大都市雇用圏,"多気町, 明和町, 大台町"
NG（近隣なら検討可）,東北,石巻市,"174,068",大都市雇用圏,"東松島市, 女川町"
NG（周辺ふくむ）,東北,北上市,"173,733",大都市雇用圏,"花巻市, 金ケ崎町, 西和賀町"
NG（周辺ふくむ）,中国,出雲市,"172,775",大都市雇用圏,"雲南市, 飯南町"
NG（周辺ふくむ）,東北,会津若松市,"172,667",大都市雇用圏,"喜多方市, 下郷町, 湯川村, 会津美里町, 猪苗代町（一部）, 会津坂下町, 柳津町, 磐梯町, 北塩原村"
OK,中部,蒲郡市,"106,750",大都市雇用圏,(単独)
OK,中部,敦賀市,"101,634",大都市雇用圏,"美浜町, 若狭町(旧三方町)"
OK,中部,高山市,"101,057",大都市雇用圏,"飛騨市, 白川村"
NG（周辺ふくむ）,関東,鹿嶋市,"165,153",大都市雇用圏,"潮来市, 神栖市, 行方市"
OK,中国,下関市,"254,082",大都市雇用圏,(単独)
NG（周辺ふくむ）,中国,周南市,"157,473",大都市雇用圏,"下松市, 光市"
NG（周辺ふくむ）,中部,飯田市,"148,229",大都市雇用圏,"松川町, 高森町, 阿南町, 阿智村, 下條村, 売木村, 天龍村, 泰阜村, 喬木村, 豊丘村, 大鹿村"
NG（周辺ふくむ）,四国,今治市,"147,331",大都市雇用圏,上島町
OK,中国,鳥取市,"218,874",大都市雇用圏,"岩美町, 若桜町, 智頭町, 八頭町"
OK,中国,宇部市,"186,836",大都市雇用圏,山陽小野田市
OK,中国,岩国市,"145,150",大都市雇用圏,"和木町, 周防大島町, 大竹市(広島)"
OK,中国,津山市,"136,547",大都市雇用圏,"鏡野町, 勝央町, 奈義町, 美咲町"
OK,中国,三原市,"106,787",小都市雇用圏,世羅町
OK,九州,都城市,"191,827",大都市雇用圏,"三股町, 曽於市(鹿児島)"
NG（周辺ふくむ）,中部,諏訪市,"136,125",大都市雇用圏,"岡谷市, 茅野市, 下諏訪町, 富士見町, 原村"
OK,九州,飯塚市,"169,451",大都市雇用圏,"嘉麻市, 桂川町"
OK,九州,中津市,"140,845",小都市雇用圏,"宇佐市, 豊後高田市, 築上町(福岡), 上毛町(福岡), 吉富町(福岡)"
OK,九州,大牟田市,"139,275",大都市雇用圏,"柳川市, みやま市, 荒尾市(熊本), 南関町(熊本), 長洲町(熊本)"
NG（周辺ふくむ）,中部,伊勢市,"126,145",大都市雇用圏,"鳥羽市, 玉城町, 度会町, 南伊勢町"
OK,九州,諫早市,"133,852",大都市雇用圏,雲仙市
NG（近隣なら検討可）,東北,酒田市,"124,191",大都市雇用圏,"遊佐町, 庄内町"
OK,九州,八代市,"123,067",大都市雇用圏,氷川町
OK,九州,延岡市,"118,394",大都市雇用圏,"門川町, 日之影町"
OK,九州,唐津市,"111,760",大都市雇用圏,玄海町
要検討,九州,薩摩川内市,"109,212",大都市雇用圏,さつま町
OK,近畿,長浜市,"144,357",大都市雇用圏,米原市
NG（周辺ふくむ）,四国,新居浜市,"115,942",大都市雇用圏,(単独)
NG（周辺ふくむ）,中国,防府市,"115,900",大都市雇用圏,(単独)
OK,近畿,豊岡市,"105,892",大都市雇用圏,"養父市, 香美町"
OK,関東,成田市,"333,710",大都市雇用圏,"富里市, 栄町, 神崎町, 多古町, 芝山町, 河内町(茨城)"
NG（周辺ふくむ）,近畿,田辺市,"108,127",大都市雇用圏,"上富田町, 白浜町, すさみ町"
NG（周辺ふくむ）,中部,伊賀市,"107,422",大都市雇用圏,(単独)
OK,関東,小山市,"282,198",大都市雇用圏,"結城市(茨城), 野木町"
OK,関東,太田市,"280,317",大都市雇用圏,"大泉町, 邑楽町"
OK,関東,日立市,"257,595",大都市雇用圏,"高萩市, 北茨城市"
NG（周辺ふくむ）,近畿,舞鶴市,"105,749",大都市雇用圏,高浜町(福井県)
NG（周辺ふくむ）,四国,西条市,"104,790",大都市雇用圏,(単独)
OK,関東,土浦市,"237,330",大都市雇用圏,"石岡市, 阿見町, かすみがうら市"
OK,関東,古河市,"160,378",大都市雇用圏,"境町, 五霞町"
NG（周辺ふくむ）,九州,鹿屋市,"101,096",大都市雇用圏,"垂水市, 東串良町, 錦江町, 南大隅町, 肝付町"
OK,沖縄,名護市,"103,277",大都市雇用圏,"本部町, 今帰仁村, 大宜味村, 東村, 宜野座村, 金武町, 恩納村, 伊江村"
